Natural_Products_Name,NP_MRD_ID,SMILES,MW,LogP,HBD,HBA,TPSA,RotBonds,FractionCSP3,Cluster_ID
"8-{[2-(dimethylamino)ethyl]sulfanyl}-6-hydroxy-4,11-diazatetracyclo[8.7.1.0⁵,¹⁸.0¹²,¹⁷]octadeca-1(18),5,7,9,11,13,16-heptaen-15-one",NP0264258,CN(C)CCSC1=CC(O)=C2NCCC3=C2C(=C1)N=C1C=CC(=O)C=C31,367.47,3.08,2,6,65.46,4,0.3,8130
"(3ar,4s,10r,11s,11as)-4-hydroxy-6,10-dimethyl-3-methylidene-2-oxo-3ah,4h,7h,8h,9h,10h,11h,11ah-cyclodeca[b]furan-11-yl acetate",NP0264148,C[C@@H]1CCC\C(C)=C/[C@H](O)[C@@H]2[C@H](OC(=O)C2=C)[C@H]1OC(C)=O,308.37,2.14,1,5,72.83,1,0.65,8131
thebacon,NP0263976,COC1=C2OC3C(OC(C)=O)=CCC4C5CC(C=C1)=C2C34CCN5C,341.41,2.42,0,5,48.0,2,0.55,8132
"(1s,6r,8r,12s,13s,23s)-16,23-dihydroxy-17-methoxy-4-methyl-7,10-dioxa-4,14-diazaheptacyclo[10.8.3.2¹¹,¹⁴.0¹,¹³.0⁶,⁸.0⁶,²³.0¹⁵,²⁰]pentacosa-11(25),15,17,19-tetraene-21,24-dione",NP0263887,COC1=CC=C2C(N3[C@H]4[C@@H]5C(OC[C@H]6O[C@]66CN(C)CC[C@]24C(=O)C[C@]56O)=CC3=O)=C1O,440.45,0.07,2,8,112.07,1,0.57,8133
1-hydroxy-5-methoxy-3-methyl-6-{[7-(3-methylbut-2-en-1-yl)-1h-indol-3-yl]methyl}pyrazin-2-one,NP0263398,COC1=C(CC2=CNC3=C(CC=C(C)C)C=CC=C23)N(O)C(=O)C(C)=N1,353.42,3.38,2,5,80.14,5,0.3,8134
"6,14-dimethyl (5z,11z)-10-hydroxy-1-methoxy-3-(3-methylbut-2-en-1-yl)-8-oxo-15-oxabicyclo[10.2.1]pentadeca-5,11,13-triene-6,14-dicarboxylate",NP0263164,COC(=O)C1=C\C2=C\C(O)CC(=O)C\C(=C\CC(CC=C(C)C)CC1(OC)O2)C(=O)OC,448.51,2.92,1,8,108.36,5,0.54,8135
n-(3-{n-[3-(1-azacyclotridecan-1-yl)propyl]acetamido}propyl)ethanimidic acid,NP0262938,CC(=O)NCCCN(CCCN1CCCCCCCCCCCC1)C(C)=O,381.61,3.97,1,3,52.65,8,0.91,8136
"(3e,5r)-5-[(1s,5s,6e,9z,13s,15s)-10-chloro-5-hydroxy-6-methyl-3-oxo-2,14-dioxabicyclo[11.2.1]hexadeca-6,9-dien-15-yl]-5-hydroxy-3-methylpent-3-enoic acid",NP0262680,C\C(CC(O)=O)=C/[C@@H](O)[C@@H]1O[C@@H]2C[C@@H]1OC(=O)C[C@H](O)\C(C)=C\C\C=C(Cl)\CC2,428.91,2.84,3,6,113.29,4,0.62,8137
n-allylnormorphine,NP0261994,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC=C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,311.38,1.75,2,4,52.93,2,0.47,8138
"1-[(1r,2r,7as)-1-hydroxy-1-(3-hydroxy-3-methylpent-4-en-1-yl)-4,4,7a-trimethyl-hexahydroinden-2-yl]ethanone",NP0261992,CC(=O)[C@@H]1CC2[C@](C)(CCCC2(C)C)[C@@]1(O)CCC(C)(O)C=C,322.49,3.88,2,3,57.53,5,0.85,8139
