Natural_Products_Name,NP_MRD_ID,SMILES,MW,LogP,HBD,HBA,TPSA,RotBonds,FractionCSP3,Cluster_ID
"methyl (14e)-14-ethylidene-19-(hydroxymethyl)-2-methyl-18-oxa-2,12-diazahexacyclo[9.6.1.1⁹,¹⁵.0¹,⁹.0³,⁸.0¹²,¹⁷]nonadeca-3,5,7-triene-19-carboxylate",NP0277283,COC(=O)C1(CO)C2CC3N(C\C2=C\C)C2CC11C4=CC=CC=C4N(C)C31O2,382.46,1.63,1,6,62.24,2,0.59,2336
"5alpha-spirostan-3beta,12beta,15alpha-triol",NP0031599,[H]O[C@@]1([H])[C@]2([H])O[C@@]3(OC([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C3([H])[H])[C@@]([H])(C([H])([H])[H])[C@]2([H])[C@]2(C([H])([H])[H])[C@]1([H])[C@]1([H])C([H])([H])C([H])([H])[C@@]3([H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])[C@@]1([H])C([H])([H])[C@@]2([H])O[H],448.64,3.74,3,5,79.15,0,1.0,2337
"(1r,4s,5r,10r,13r,14s,16s,19s,21s,23s,24s)-7-isopropyl-10,13-dimethyl-15,17,20,22-tetraoxaheptacyclo[12.10.0.0²,²¹.0⁵,¹³.0⁶,¹⁰.0¹⁶,²⁴.0¹⁹,²³]tetracosa-2,6-diene-4,23,24-triol",NP0309878,CC(C)C1=C2[C@H]3[C@@H](O)C=C4[C@H]5O[C@H]6CO[C@H]7O[C@@H]([C@@H]4[C@@]7(O)[C@@]6(O)O5)[C@]3(C)CC[C@@]2(C)CC1,446.54,2.0,3,7,97.61,1,0.84,2338
"(1r,8s,9r,10s,13s)-6,9,10-trimethyl-2-oxo-4,14-dioxatetracyclo[7.5.0.0¹,¹³.0³,⁷]tetradeca-3(7),5,11-trien-8-yl 2-methylprop-2-enoate",NP0276914,C[C@H]1C=C[C@@H]2O[C@@]22C(=O)C3=C([C@@H](OC(=O)C(C)=C)[C@@]12C)C(C)=CO3,328.36,3.29,0,5,69.04,2,0.47,2339
"4-[2-(2,5,5,8a-tetramethyl-4-oxo-4a,6,7,8-tetrahydro-1h-naphthalen-1-yl)ethenyl]-5-hydroxy-5h-furan-2-one",NP0240836,CC1=CC(=O)C2C(C)(C)CCCC2(C)C1C=CC1=CC(=O)OC1O,330.42,3.32,1,4,63.6,2,0.6,2340
"(1s,2r,3r,4s,5r,6s,8r,12s,13s,16r,19s,20r)-14-ethyl-4,6,19-trimethoxy-16-methyl-9,11-dioxa-14-azaheptacyclo[10.7.2.1²,⁵.0¹,¹³.0³,⁸.0⁸,¹².0¹⁶,²⁰]docosan-21-one",NP0297665,CCN1C[C@]2(C)CC[C@H](OC)[C@]34[C@@H]5C[C@H]6[C@H](OC)[C@@H]5[C@@]5(C[C@@H]6OC)OCO[C@]5([C@@H]13)C(=O)[C@H]24,447.57,1.87,0,7,66.46,4,0.96,2341
"4-{9,19-dihydroxy-17-methoxy-5-methyl-16-oxapentacyclo[13.2.2.0¹,¹³.0²,¹⁰.0⁵,⁹]nonadecan-6-yl}-5h-furan-2-one",NP0201762,COC1OC2CC3CCC4C(CCC5(C)C(CCC45O)C4=CC(=O)OC4)C13CC2O,418.53,2.57,2,6,85.22,2,0.88,2342
"3-acetyl-5,5,5',8a-tetramethyl-hexahydrospiro[2-benzopyran-1,2'-oxolan]-5'-ylacetic acid",NP0295544,CC(=O)C1CC2C(C)(C)CCCC2(C)C2(CCC(C)(CC(O)=O)O2)O1,352.47,3.94,1,4,72.83,3,0.9,2343
"6-hydroxy-9,10,12-trimethyl-9-[2-(5-oxo-2h-furan-3-yl)ethyl]-2-oxatricyclo[6.3.1.0⁴,¹²]dodec-4-en-3-one",NP0234535,CC1CC2OC(=O)C3=CC(O)CC(C23C)C1(C)CCC1=CC(=O)OC1,346.42,2.53,1,5,72.83,3,0.7,2344
"(4s,6r)-6-butoxy-9,11-dihydroxy-10-methoxy-4-methyl-1,4,5,6-tetrahydro-3-benzoxecin-2-one",NP0312531,CCCCO[C@@H]1C[C@H](C)OC(=O)CC2=C(C=C1)C(O)=C(OC)C(O)=C2,350.41,3.18,2,6,85.22,5,0.53,2345
"(-)-(2R,3R,4aR)-altenuene-2-acetoxy ester",NP0013320,[H]OC1=C2C(=O)O[C@]3(C(=C([H])[C@@]([H])(OC(=O)C([H])([H])[H])[C@]([H])(O[H])C3([H])[H])C2=C([H])C(OC([H])([H])[H])=C1[H])C([H])([H])[H],334.32,1.41,2,7,102.29,2,0.41,2346
"2,10,16-trihydroxy-1,7,9,16-tetramethyl-13,17-dioxapentacyclo[9.5.2.0³,¹⁴.0⁵,¹⁸.0¹⁴,¹⁸]octadec-10-ene-6,12-dione",NP0263029,CC1CC(C)C(O)=C2C(=O)OC34CC(C)(O)C5(C)OC23C(CC4C5O)C1=O,378.42,1.02,3,7,113.29,0,0.8,2347
"1-[7,12-dihydroxy-4-(2-hydroxypropan-2-yl)-11,11-dimethyl-3,10-dioxatricyclo[7.4.0.0²,⁶]trideca-1(9),2(6),7-trien-8-yl]-2-methylpropan-1-one",NP0285407,CC(C)C(=O)C1=C(O)C2=C(OC(C2)C(C)(C)O)C2=C1OC(C)(C)C(O)C2,364.44,2.38,3,6,96.22,3,0.65,2348
methyl 2-{7-hydroxy-2-[(6s)-6-hydroxyheptyl]-4-oxochromen-5-yl}acetate,NP0284583,COC(=O)CC1=C2C(=O)C=C(CCCCC[C@H](C)O)OC2=CC(O)=C1,348.4,2.7,2,6,96.97,8,0.47,2349
"(1s,3s,5s,6r,7s,8s)-8-hydroxy-7-(3-hydroxy-4-methoxyphenyl)-1,3-dimethoxy-6-methyl-5-(prop-2-en-1-yl)bicyclo[3.2.1]octan-2-one",NP0252610,CO[C@H]1C[C@@]2(CC=C)[C@H](C)[C@@H](C3=CC=C(OC)C(O)=C3)[C@](OC)([C@H]2O)C1=O,376.45,2.43,2,6,85.22,6,0.57,2350
Nodulisporiviridin C,NP0014167,[H]OC([H])([H])C([H])([H])C1=C([H])OC2=C1[C@@](O[H])(C1=C([H])C([H])=C3C(=O)C([H])([H])C([H])([H])C3=C1C2=O)C([H])([H])[H],312.32,1.74,2,5,87.74,2,0.33,2351
"10,12-dihydroxy-5-methyl-8-(6-methylhept-5-en-2-yl)-11-oxatricyclo[7.3.0.0²,⁴]dodec-1(9)-en-7-yl acetate",NP0302712,CC(CCC=C(C)C)C1C(CC(C)C2CC2C2=C1C(O)OC2O)OC(C)=O,378.51,3.56,2,5,75.99,5,0.77,2352
"2alpha,7-dimethoxyhomolycorine",NP0040681,[H]C1=C2C(C(=O)O[C@]3([H])[C@@]([H])(OC([H])([H])[H])C([H])=C4C([H])([H])C([H])([H])N(C([H])([H])[H])[C@]4([H])[C@]23[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1OC([H])([H])[H],375.42,1.99,0,7,66.46,4,0.55,2353
"(1s,2s,3r,5r,9s,10r)-5-ethenyl-2,3,9,10-tetrahydroxy-5,11,11-trimethyl-16-oxatetracyclo[7.5.2.0¹,¹⁰.0²,⁷]hexadec-6-en-8-one",NP0274636,CC1(C)CCC[C@]23CO[C@](O)(C(=O)C4=C[C@](C)(C[C@@H](O)[C@]24O)C=C)[C@@]13O,364.44,0.83,4,6,107.22,1,0.75,2354
Palmarumycin-CP3a,NP0014008,[H]C1=C([H])C2=C3C(OC4(O2)[C@@]2([H])O[C@]5([H])C([H])([H])C([H])([H])C(=O)[C@]([H])(C(=O)C2([H])[H])[C@]45[H])=C([H])C([H])=C([H])C3=C1[H],336.34,2.64,0,5,61.83,0,0.4,2355
Diorcinol C,NP0011771,[H]OC1=C([H])C(OC2=C([H])C(O[H])=C([H])C(=C2C([H])([H])[C@]([H])(O[H])C(OC([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])=C([H])C(=C1[H])C([H])([H])[H],346.42,3.84,3,5,79.15,6,0.4,2356
"5''-(furan-3-yl)-4'a,6'-dimethyl-2'',8'-dioxo-tetrahydro-2'h-dispiro[oxirane-2,1'-naphthalene-5',3''-oxolan]-8'a-ylmethyl acetate",NP0272827,CC1CC(=O)C2(COC(C)=O)C3(CO3)CCCC2(C)C11CC(OC1=O)C1=COC=C1,416.47,3.37,0,7,95.34,3,0.7,2357
"4-ethylidene-11-hydroxy-6,7-dimethyl-3,8-dioxo-2,9-dioxa-14-azatricyclo[9.5.1.0¹⁴,¹⁷]heptadecan-7-yl acetate",NP0270850,CC=C1CC(C)C(C)(OC(C)=O)C(=O)OCC2(O)CCN3CCC(OC1=O)C23,395.45,0.96,1,8,102.37,1,0.75,2358
"6-ethenyl-3,8-dihydroxy-5,12-dimethyl-10-oxapentacyclo[7.7.1.0¹,¹⁵.0²,⁷.0¹²,¹⁷]heptadeca-2(7),3,5-trien-11-one",NP0270802,CC1=C(C=C)C2=C(C(O)=C1)C13CC1CCC1(C)C3C(OC1=O)C2O,326.39,2.99,2,4,66.76,1,0.55,2359
"methyl (3z,3as,5ar,6r,7r,9ar,9br)-7-(acetyloxy)-3-(1-methoxy-1-oxopropan-2-ylidene)-3a,6,9a-trimethyl-2-oxo-octahydrocyclopenta[a]naphthalene-6-carboxylate",NP0290490,COC(=O)C(\C)=C1/C(=O)C[C@H]2[C@]1(C)CC[C@@H]1[C@]2(C)CC[C@@H](OC(C)=O)[C@]1(C)C(=O)OC,434.53,3.39,0,7,95.97,3,0.75,2360
"2-(5-acetyl-4-hydroxy-2,3-dihydro-1-benzofuran-2-yl)prop-2-en-1-yl 2-methylbutanoate",NP0270371,CCC(C)C(=O)OCC(=C)C1CC2=C(O1)C=CC(C(C)=O)=C2O,318.37,3.04,1,5,72.83,6,0.44,2361
"(1s,2s,4s,6r,7s,9r,13s,17s)-4-methoxy-2,6,14,17-tetramethyl-10-oxatetracyclo[7.7.1.0²,⁷.0¹³,¹⁷]heptadec-14-ene-3,11,16-trione",NP0270049,CO[C@H]1C[C@@H](C)[C@@H]2C[C@H]3OC(=O)C[C@H]4C(C)=CC(=O)[C@@H]([C@@]34C)[C@@]2(C)C1=O,360.45,2.72,0,5,69.67,1,0.76,2362
"(2s,3z,3ar,4s,5s,6s,7ar)-2-(acetyloxy)-3-ethylidene-6-hydroxy-4-isopropyl-7-methylidene-hexahydro-1h-inden-5-yl (2z)-2-methylbut-2-enoate",NP0245796,C\C=C(\C)C(=O)O[C@@H]1[C@@H](O)C(=C)[C@@H]2C[C@H](OC(C)=O)\C(=C/C)[C@H]2[C@@H]1C(C)C,376.49,3.58,1,5,72.83,4,0.64,2363
"(1s,13s,18s)-9-methoxy-5,7-dioxa-12-azapentacyclo[10.5.2.0¹,¹³.0²,¹⁰.0⁴,⁸]nonadeca-2,4(8),9,16-tetraen-18-ol",NP0237528,COC1=C2CN3C[C@@H](O)[C@@]4(C=CCC[C@H]34)C2=CC2=C1OCO2,301.34,1.57,1,5,51.16,1,0.53,2364
"[(1s,4r,5s,6r,8r)-4,5-dimethyl-5-[2-(2-oxo-5h-furan-3-yl)ethyl]-9-oxatricyclo[6.2.2.0¹,⁶]dodec-11-en-11-yl]methyl acetate",NP0218079,C[C@@H]1CC[C@]23CO[C@H](C[C@@H]2[C@@]1(C)CCC1=CCOC1=O)C=C3COC(C)=O,374.48,3.58,0,5,61.83,5,0.73,2365
"2-{7-[(4-hydroxypent-3-enoyl)oxy]-8,8a-dimethyl-3-oxo-5,6,7,8-tetrahydronaphthalen-2-yl}propanoic acid",NP0259418,CC(C(O)=O)C1=CC2(C)C(C)C(CCC2=CC1=O)OC(=O)CC=C(C)O,362.42,3.34,2,5,100.9,5,0.55,2366
isoandrocymbine,NP0164460,COC1=C[C@@]23CCN(C)[C@@H](CCC4=CC(O)=C(OC)C(OC)=C24)C3=CC1=O,371.43,2.34,1,6,68.23,3,0.48,2367
"(1r,9s)-3-hydroxy-4,13-dimethoxy-17-methyl-12-oxo-17-azatetracyclo[7.5.3.0¹,¹⁰.0²,⁷]heptadeca-2,4,6,10,13-pentaen-17-ium-17-olate",NP0260129,COC1=CC=C2C[C@H]3C4=CC(=O)C(OC)=C[C@@]4(CC[N+]3(C)[O-])C2=C1O,343.38,1.95,1,5,78.82,2,0.42,2368
"5-(furan-3-yl)-2'-hydroxy-11'-(hydroxymethyl)-4'-methyl-9'-oxaspiro[oxolane-3,5'-tricyclo[6.2.2.0¹,⁶]dodecan]-11'-en-2-one",NP0258501,CC1CC(O)C23COC(CC2C11CC(OC1=O)C1=COC=C1)C=C3CO,360.41,1.98,2,6,89.13,2,0.65,2369
"4-(hydroxymethyl)-4,7,11b-trimethyl-1h,2h,3h,5h,6h,6ah,7h,11h,11ah-phenanthro[3,2-b]furan-4a-ol",NP0325535,CC1C2CCC3(O)C(C)(CO)CCCC3(C)C2CC2=C1C=CO2,318.46,3.89,2,3,53.6,1,0.8,2370
"4,8-dihydroxy-4,4a,6,7,8,8a-hexahydro-2',4'-dioxaspiro[naphthalene-1,3'-tricyclo[7.3.1.0⁵,¹³]tridecane]-1'(13'),5',7',9',11'-pentaen-5-one",NP0256351,OC1CCC(=O)C2C(O)C=CC3(OC4=CC=CC5=CC=CC(O3)=C45)C12,338.36,2.19,2,5,75.99,0,0.35,2371
"(1s,7r,9s,10r)-7-(furan-3-yl)-10-hydroxy-9-methyl-6,16-dioxatetracyclo[8.7.0.0¹,¹⁴.0⁴,⁹]heptadeca-3,13-diene-5,15-dione",NP0253590,C[C@]12C[C@@H](OC(=O)C1=CC[C@@]13COC(=O)C1=CCC[C@@]23O)C1=COC=C1,356.37,2.6,1,6,85.97,1,0.5,2372
"(3r,4ar,9ar)-4a,7-dihydroxy-3-(1-hydroxypropan-2-yl)-1,2,3,9a-tetrahydroxanthene-4,9-dione",NP0247905,CC(CO)[C@H]1CC[C@@H]2C(=O)C3=CC(O)=CC=C3O[C@@]2(O)C1=O,306.31,0.88,3,6,104.06,2,0.5,2373
"5,7-dimethoxy-3-methyl-5-(prop-2-en-1-yl)-2-(3,4,5-trimethoxyphenyl)-2,3-dihydro-1-benzofuran-6-one",NP0215403,COC1=CC(=CC(OC)=C1OC)C1OC2=C(OC)C(=O)C(CC=C)(OC)C=C2C1C,416.47,3.75,0,7,72.45,8,0.43,2374
salvisplendin B,NP0032554,[H]O[C@@]1([H])[C@@]([H])(OC(=O)C2=C([H])C([H])([H])[C@@]34C([H])([H])OC(=O)[C@]3([H])C([H])=C([H])C([H])([H])[C@]4([H])[C@@]12C([H])([H])[H])C1=C([H])OC([H])=C1[H],356.37,2.31,1,6,85.97,1,0.5,2375
"(2s,3s,4r,5r)-2-{[(5r,8s)-1-hydroxy-3,8-dimethyl-5-[(2s,3e)-6-methylhepta-3,5-dien-2-yl]-5,6,7,8-tetrahydronaphthalen-2-yl]oxy}oxane-3,4,5-triol",NP0151586,C[C@@H](\C=C\C=C(C)C)[C@H]1CC[C@H](C)C2=C1C=C(C)C(O[C@@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O)=C2O,432.56,3.66,4,6,99.38,5,0.6,2376
ballonigrinone,NP0025042,[H]C1=C([H])C(=C([H])O1)C([H])([H])C([H])([H])C1=C(C(=O)[C@@]2([H])OC(=O)[C@]3(C(=O)C([H])([H])C([H])([H])[C@@]1(C([H])([H])[H])[C@@]23[H])C([H])([H])[H])C([H])([H])[H],342.39,3.03,0,5,73.58,3,0.55,2377
"(3as,4s,9as)-4-(4-hydroxy-3,5-dimethoxyphenyl)-7-methoxy-1h,3h,3ah,4h,9h,9ah-naphtho[2,3-c]furan-6-ol",NP0237090,COC1=CC2=C(C=C1O)[C@@H]([C@@H]1COC[C@H]1C2)C1=CC(OC)=C(O)C(OC)=C1,372.42,3.07,2,6,77.38,4,0.43,2378
"(1s,2s,5r,7r,8s,9r,10s,11r,15s)-9-(acetyloxy)-10,15-dihydroxy-12,12-dimethyl-6-methylidene-17-oxapentacyclo[7.6.2.1⁵,⁸.0¹,¹¹.0²,⁸]octadecan-7-yl acetate",NP0234301,CC(=O)O[C@@H]1C(=C)[C@H]2C[C@]11[C@@H](CC2)[C@@]23CO[C@]1(OC(C)=O)[C@@H](O)[C@@H]2C(C)(C)CC[C@@H]3O,434.53,2.34,2,7,102.29,2,0.83,2379
"2-hydroxy-5,9,14-trimethyl-15-oxotetracyclo[11.2.1.0¹,¹⁰.0⁴,⁹]hexadecan-5-yl acetate",NP0234084,CC1C2CC3(C(O)CC4C(C)(CCCC4(C)C3CC2)OC(C)=O)C1=O,348.48,3.5,1,4,63.6,1,0.9,2380
"(1r,5s,7r,8r,9r,10s,11r,15s,18r)-12,12-dimethyl-6-methylidene-17-oxapentacyclo[7.6.2.1⁵,⁸.0¹,¹¹.0²,⁸]octadec-2-ene-7,9,10,15,18-pentol",NP0288578,CC1(C)CC[C@H](O)[C@]23CO[C@@](O)([C@@H](O)[C@H]12)[C@@]12[C@H](O)[C@@H](CC=C31)C(=C)[C@H]2O,364.44,0.09,5,6,110.38,0,0.8,2381
"7-Hydroxy-2,3,4,6-tetramethoxy-9,10-dihydrophenanthrene",NP0061256,COC1=CC2=C(CCC3=CC(OC)=C(OC)C(OC)=C23)C=C1O,316.35,3.19,1,5,57.15,4,0.33,2382
chushizisin F,NP0034288,[H]OC1=C([H])C([H])=C(C([H])=C1[H])[C@@]1([H])OC2=C(C([H])=C(C([H])=C2OC([H])([H])[H])C(=O)C([H])([H])C([H])([H])O[H])[C@]1([H])C([H])([H])O[H],344.36,2.18,3,6,96.22,6,0.32,2383
"(1s,2s,5s,6s,9r,11s)-2-(2-hydroxypropan-2-yl)-5-isothiocyanato-5,9-dimethyl-10,12-dioxatricyclo[7.2.1.0¹,⁶]dodecan-11-ol",NP0172118,CC(C)(O)[C@@H]1CC[C@](C)(N=C=S)[C@@H]2CC[C@@]3(C)O[C@H](O)[C@@]12O3,327.45,2.26,2,6,71.28,2,0.94,2384
7-acetyldistanol,NP0040923,[H]OC([H])([H])[C@@]1(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@@]2(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]4([H])C([H])([H])[C@]3(C([H])([H])[C@]4(O[H])C([H])([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])C([H])([H])[C@@]12[H],364.53,3.68,2,4,66.76,2,0.95,2385
"10-hydroxy-6,10-dimethyl-3-methylidene-4,11-bis(2-methylpropoxy)-octahydrocyclodeca[b]furan-2,5-dione",NP0214802,CC(C)COC1C2C(OC(=O)C2=C)C(OCC(C)C)C(C)(O)CCCC(C)C1=O,410.55,3.31,1,6,82.06,6,0.83,2386
"(1s,2s,5s,8r,9r,10s,12r,14s)-10-hydroxy-5,9,14-trimethyl-4-oxo-3,13-dioxatetracyclo[7.5.0.0²,⁶.0¹²,¹⁴]tetradecan-8-yl 3-methylbutanoate",NP0222710,CC(C)CC(=O)O[C@@H]1CC2[C@H](C)C(=O)O[C@@H]2[C@H]2[C@]3(C)O[C@@H]3C[C@H](O)[C@]12C,366.45,2.07,1,6,85.36,3,0.9,2387
"2'-(1-hydroxyethyl)-4'-methyl-9'-oxa-4'-azaspiro[indole-3,7'-tetracyclo[6.3.1.0²,⁶.0⁵,¹¹]dodecan]-2-ol",NP0167376,CC(O)C12CN(C)C3C4COC(CC14)C1(C23)C(=O)NC2=CC=CC=C12,340.42,1.22,2,4,61.8,1,0.65,2388
"4-[2h-1,3-benzodioxol-5-yl(hydroxy)methyl]-3-(2h-1,3-benzodioxole-5-carbonyl)oxolan-2-one",NP0289985,OC(C1COC(=O)C1C(=O)C1=CC=C2OCOC2=C1)C1=CC=C2OCOC2=C1,384.34,1.85,1,8,100.52,4,0.3,2389
"10-methyl-6-methylidene-5,13-dioxo-4,14-dioxatricyclo[9.2.1.0³,⁷]tetradeca-9,11-dien-8-yl 2-methylprop-2-enoate",NP0208209,CC(=C)C(=O)OC1C=C(C)C2=CC(=O)C(CC3OC(=O)C(=C)C13)O2,330.34,1.77,0,6,78.9,2,0.39,2390
"1-[(12s)-18-acetyl-13-methyl-5,7-dioxa-13-azapentacyclo[10.7.1.0²,¹⁰.0⁴,⁸.0¹⁶,²⁰]icosa-1(19),2,4(8),9,16(20),17-hexaen-19-yl]ethanone",NP0216280,CN1CCC2=C3[C@@H]1CC1=CC4=C(OCO4)C=C1C3=C(C(C)=O)C(=C2)C(C)=O,363.41,3.57,0,5,55.84,2,0.36,2391
"5-ethenyl-2b-hydroxy-2a,8b-dimethyl-6-methylidene-octahydro-4h-phenanthro[2,1-b]oxete-2,3-dione",NP0215344,CC12C(CCC3(C)C4CCC(=C)C(C=C)C4CC(=O)C13O)OC2=O,330.42,2.81,1,4,63.6,1,0.7,2392
"2-(acetyloxy)-6,8,15-trihydroxy-5,5,9-trimethyl-14-methylidenetetracyclo[11.2.1.0¹,¹⁰.0⁴,⁹]hexadecan-11-yl acetate",NP0208420,CC(=O)OC1CC2CC3(C(O)C2=C)C(CC2C(C)(C)C(O)CC(O)C2(C)C13)OC(C)=O,436.55,1.97,3,7,113.29,2,0.83,2393
"(1r,4z,8r,10z,12s,15r,17r)-8,17-dihydroxy-17-[(4r)-2-hydroxy-4,5-dihydro-1,3-thiazol-4-yl]-5,12-dimethyl-2,16-dioxabicyclo[13.3.1]nonadeca-4,10-dien-3-one",NP0211885,C[C@H]1CC[C@@H]2C[C@H](C[C@@](O)(O2)[C@@H]2CSC(O)=N2)OC(=O)\C=C(C)/CC[C@@H](O)C\C=C/1,439.57,3.26,3,7,108.58,1,0.73,2394
"(2r,4r,8s,9s,13r)-2,8-dihydroxy-5,5,9-trimethyl-14-methylidenetricyclo[11.2.1.0⁴,⁹]hexadec-1(16)-ene-10,15-dione",NP0211762,CC1(C)CC[C@H](O)[C@]2(C)[C@@H]1C[C@@H](O)C1=C[C@@H](CCC2=O)C(=C)C1=O,332.44,2.59,2,4,74.6,0,0.7,2395
"methyl (11'z)-11'-ethylidene-2-hydroxy-5'-oxo-1,2-dihydro-1'-azaspiro[indole-3,4'-tricyclo[5.2.2.0²,⁶]undecane]-6'-carboxylate",NP0281705,COC(=O)C12C(CC3(C(O)NC4=CC=CC=C34)C1=O)N1CCC2\C(C1)=C\C,368.43,1.45,2,6,78.87,1,0.52,2396
"4-(acetyloxy)-8a-methyl-3-methylidene-2-oxo-octahydrospiro[naphtho[2,3-b]furan-5,2'-oxiran]-8-yl 2,3-dimethyloxirane-2-carboxylate",NP0205745,CC1OC1(C)C(=O)OC1CCC2(CO2)C2C(OC(C)=O)C3C(CC12C)OC(=O)C3=C,420.46,1.69,0,8,103.96,3,0.77,2397
phanginin J,NP0025345,[H]C(=O)[C@@]1(C(=O)OC([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]2(C([H])=O)[C@@]3([H])C([H])([H])C4=C(C([H])=C([H])O4)[C@]([H])(C([H])([H])[H])[C@]3([H])C([H])([H])C([H])([H])[C@@]12[H],358.43,3.31,0,5,73.58,3,0.67,2398
"methyl ent-7alpha,15beta-dihydroxy-kaur-16-en-19-oate",NP0041657,[H]O[C@@]1([H])C(=C([H])[H])[C@@]2([H])C([H])([H])[C@@]11[C@@]([H])(O[H])C([H])([H])[C@@]3([H])[C@@](C(=O)OC([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@@]3(C([H])([H])[H])[C@@]1([H])C([H])([H])C2([H])[H],348.48,3.07,2,4,66.76,1,0.86,2399
"3-[hydroxy(2-methyl-1,2,4a,5,6,7,8,8a-octahydronaphthalen-1-yl)methylidene]-5-(1-hydroxyethyl)-1-methylpyrrolidine-2,4-dione",NP0262497,CC(O)C1N(C)C(=O)C(=C(O)C2C(C)C=CC3CCCCC23)C1=O,333.43,2.22,2,4,77.84,2,0.68,2400
aurovertin C,NP0038432,[H]O[C@]1([H])[C@]([H])(O[C@]2(C([H])([H])[H])[C@]([H])(O[C@@]1(C([H])([H])[H])[C@@]2([H])OC(=O)C([H])([H])[H])C([H])([H])[H])C(\[H])=C(/[H])\C(\[H])=C(/[H])\C(\[H])=C(/[H])C1=C(C(OC([H])([H])[H])=C([H])C(=O)O1)C([H])([H])[H],446.5,2.71,1,8,104.43,6,0.5,2401
boucerin,NP0038374,[H]O[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]2(O[H])[C@]3([H])C([H])([H])C([H])=C4C([H])([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])[C@@]([H])(O[H])[C@]12C([H])([H])[H],350.5,2.39,4,4,80.92,1,0.9,2402
melodinine S,NP0036506,[H]N1C2=C([H])C([H])=C([H])C([H])=C2[C@]23C1=C(C(=O)OC([H])([H])[H])C([H])([H])[C@]1(C([H])([H])C([H])([H])[H])[C@@]4([H])O[C@@]4([H])[C@]([H])(N(C([H])([H])C2([H])[H])[C@]31[H])C([H])([H])C(=O)C([H])([H])[H],408.5,2.78,1,6,71.17,4,0.58,2403
"5,7,8-trimethoxy-3-(4'-hydroxybenzyl)-4-chromanone",NP0030675,[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@@]1([H])C(=O)C2=C(OC([H])([H])[H])C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2OC1([H])[H],344.36,2.85,1,6,74.22,5,0.32,2404
2-acetyl atractyligenin,NP0027871,[H]OC(=O)[C@]1([H])C([H])([H])[C@@]([H])(OC(=O)C([H])([H])[H])C([H])([H])[C@]2(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]13C([H])([H])[C@]([H])(C(=C([H])[H])[C@]1([H])O[H])C([H])([H])C([H])([H])[C@]23[H],362.47,3.16,2,4,83.83,2,0.81,2405
caesalpinin MC,NP0027561,[H]O[C@@]12C([H])([H])C([H])([H])C3=C(C([H])=C4OC([H])([H])C([H])([H])C4=C3C([H])([H])[H])[C@@]1(C([H])([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])C([H])([H])[C@@]([H])(OC(=O)C([H])([H])[H])C2(C([H])([H])[H])C([H])([H])[H],416.51,3.16,1,6,82.06,2,0.67,2406
cespihypotin F,NP0025135,[H]O[C@]12OC(=O)C3=C1C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C(=C([H])[H])C([H])([H])C(=O)\C([H])=C(C([H])([H])[H])/C2([H])[H],330.42,3.61,1,4,63.6,0,0.6,2407
Dahliane E,NP0019122,[H]O[C@@]1([H])C2=C([H])C3=C(C(=O)C([H])([H])C([H])([H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])[C@@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])[C@]1([H])OC(=O)C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])[H],418.53,3.52,1,6,89.9,4,0.71,2408
Aspochalasinol C,NP0018338,[H]OC([H])([H])C1=C([H])[C@]2([H])\C([H])=C(C([H])([H])[H])/C([H])([H])C([H])([H])[C@@]([H])(O[H])C(=O)C([H])([H])C([H])([H])C(=O)[C@]22C(=O)N([H])[C@@]([H])(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@]2([H])[C@]1([H])C([H])([H])[H],417.55,2.34,3,5,103.7,3,0.71,2409
Purpuride,NP0063489,CC(C)[C@H](NC(C)=O)C(=O)O[C@H]1CCC(C)(C)[C@@H]2CCC3=C(COC3=O)[C@@]12C,391.51,3.15,1,5,81.7,4,0.77,2410
